_id,Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
1,Isla,347,Oliver,506
2,Olivia,320,Noah,419
3,Charlotte,307,Henry,363
4,Willow,288,William,347
5,Mia,286,Theodore,331
6,Ava,285,Hudson,302
7,Grace,279,Jack,296
8,Amelia,276,Charlie,293
9,Matilda,224,Elijah,277
10,Lily,215,Leo,274
11,Ivy,211,Thomas,247
12,Harper,210,Archie,245
13,Ella,206,Harrison,235
14,Sophie,198,Archer,231
15,Evie,189,Levi,230
16,Ruby,185,Lucas,227
17,Evelyn,182,James,227
18,Isabella,173,Luca,220
19,Frankie,172,George,194
20,Lucy,171,Harry,190
21,Chloe,168,Hunter,186
22,Mila,164,Mason,182
23,Sophia,160,Oscar,180
24,Georgia,157,Arlo,180
25,Violet,155,Arthur,180
26,Layla,155,Cooper,179
27,Ellie,153,Harvey,178
28,Aria,152,Liam,177
29,Luna,149,Lachlan,171
30,Audrey,142,Ethan,169
31,Scarlett,141,Carter,169
32,Zoe,137,Lincoln,165
33,Hazel,133,Finn,160
34,Elsie,132,Alexander,158
35,Penelope,131,Benjamin,156
36,Alice,130,Riley,152
37,Poppy,128,Kai,151
38,Sienna,127,Hugo,149
39,Aurora,125,Xavier,143
40,Freya,124,Samuel,136
41,Florence,123,Max,136
42,Isabelle,122,Eli,129
43,Hannah,121,Flynn,127
44,Abigail,119,Joseph,124
45,MacKenzie,118,Sebastian,122
46,Daisy,114,Patrick,121
47,Emily,110,Beau,119
48,Eleanor,108,Jackson,118
49,Ayla,107,Isaac,113
50,Maya,97,Theo,112
51,Emilia,97,Austin,110
52,Savannah,95,Ezra,108
53,Billie,95,Jaxon,106
54,Eloise,94,Jacob,105
55,Sadie,93,Edward,105
56,Bonnie,93,Parker,103
57,Remi,92,Jasper,103
58,Emma,92,Connor,103
59,Stella,90,Sonny,102
60,Summer,89,Spencer,102
61,Harriet,87,Luka,98
62,Sofia,86,Angus,97
63,Addison,86,Ryan,96
64,Peyton,84,Wyatt,93
65,Piper,84,Jordan,93
66,Elizabeth,84,Charles,91
67,Lola,79,River,90
68,Phoebe,79,Louis,90
69,Charlie,79,Joshua,90
70,Millie,77,Billy,90
71,Imogen,77,Grayson,89
72,Maddison,76,Hamish,89
73,Harlow,76,Ryder,88
74,Delilah,76,Phoenix,87
75,Olive,75,Braxton,87
76,Bella,75,Lennox,86
77,Claire,75,Michael,85
78,Zara,71,Fletcher,84
79,Quinn,71,Asher,83
80,Hallie,69,Bodhi,81
81,Thea,68,Daniel,81
82,Pippa,67,Ashton,81
83,Jasmine,67,Nate,80
84,Adeline,66,Caleb,78
85,Lyla,64,Darcy,77
86,Eva,64,Koa,76
87,Rosie,63,Luke,75
88,Lilly,63,Miles,75
89,Indiana,63,Ari,73
90,Octavia,61,Louie,69
91,Maeve,61,Owen,69
92,Eden,61,Vincent,68
93,Gracie,61,Maxwell,68
94,Aaliyah,61,Huxley,68
95,Brooklyn,60,Elias,67
96,Heidi,58,Matthew,65
97,Aubrey,58,Jayden,65
98,Lillian,57,Ezekiel,65
99,Maggie,57,Blake,65
100,Rose,56,Chase,65
